accfile,sup,type,assembly,date,url,output_type,biol_reps,acc,best_samps,dateMax,tissue,GENEID,SYMBOL
ENCFF134LIU,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF134LIU/@@download/ENCFF134LIU.bed.gz,peaks,1_2,ENCSR485QCG,1_2,2018-12-03,HepG2,ENSG00000107949,BCCIP
ENCFF810EUA,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF810EUA/@@download/ENCFF810EUA.bed.gz,peaks,1_2,ENCSR876EYA,1_2,2018-12-03,HepG2,ENSG00000029363,BCLAF1
ENCFF011NAP,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF011NAP/@@download/ENCFF011NAP.bed.gz,peaks,1_2,ENCSR830BSQ,1_2,2018-12-03,HepG2,ENSG00000137656,BUD13
ENCFF262ILV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF262ILV/@@download/ENCFF262ILV.bed.gz,peaks,1_2,ENCSR663WES,1_2,2018-12-03,K562,ENSG00000137656,BUD13
ENCFF027MEO,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF027MEO/@@download/ENCFF027MEO.bed.gz,peaks,1_2,ENCSR815VVI,1_2,2018-12-03,HepG2,ENSG00000168438,CDC40
ENCFF665BGJ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF665BGJ/@@download/ENCFF665BGJ.bed.gz,peaks,1_2,ENCSR046JHH,1_2,2018-12-03,K562,ENSG00000113742,CPEB4
ENCFF635NZZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF635NZZ/@@download/ENCFF635NZZ.bed.gz,peaks,1_2,ENCSR532VUB,1_2,2018-12-03,K562,ENSG00000111605,CPSF6
ENCFF349SVY,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF349SVY/@@download/ENCFF349SVY.bed.gz,peaks,1_2,ENCSR384MWO,1_2,2018-12-03,HepG2,ENSG00000101811,CSTF2
ENCFF141DOI,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF141DOI/@@download/ENCFF141DOI.bed.gz,peaks,1_2,ENCSR919HSE,1_2,2018-12-03,HepG2,ENSG00000177613,CSTF2T
ENCFF878VVA,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF878VVA/@@download/ENCFF878VVA.bed.gz,peaks,1_2,ENCSR840DRD,1_2,2018-12-03,K562,ENSG00000177613,CSTF2T
ENCFF378OYA,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF378OYA/@@download/ENCFF378OYA.bed.gz,peaks,1_2,ENCSR040QLV,1_2,2018-12-03,K562,ENSG00000165732,DDX21
ENCFF537KWB,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF537KWB/@@download/ENCFF537KWB.bed.gz,peaks,1_2,ENCSR999WKT,1_2,2018-12-03,K562,ENSG00000089737,DDX24
ENCFF087MAJ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF087MAJ/@@download/ENCFF087MAJ.bed.gz,peaks,1_2,ENCSR930BZL,1_2,2018-12-03,K562,ENSG00000215301,DDX3X
ENCFF777NMK,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF777NMK/@@download/ENCFF777NMK.bed.gz,peaks,1_2,ENCSR648LAH,1_2,2018-12-03,HepG2,ENSG00000215301,DDX3X
ENCFF399GGH,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF399GGH/@@download/ENCFF399GGH.bed.gz,peaks,1_2,ENCSR576SHT,1_2,2018-12-03,K562,ENSG00000198231,DDX42
ENCFF799ERK,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF799ERK/@@download/ENCFF799ERK.bed.gz,peaks,1_2,ENCSR145NLR,1_2,2018-12-03,K562,ENSG00000185163,DDX51
ENCFF797QRS,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF797QRS/@@download/ENCFF797QRS.bed.gz,peaks,1_2,ENCSR845VGB,1_2,2018-12-03,HepG2,ENSG00000111364,DDX55
ENCFF462WAI,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF462WAI/@@download/ENCFF462WAI.bed.gz,peaks,1_2,ENCSR923NKN,1_2,2018-12-03,K562,ENSG00000111364,DDX55
ENCFF899AWZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF899AWZ/@@download/ENCFF899AWZ.bed.gz,peaks,1_2,ENCSR214BZA,1_2,2018-12-03,HepG2,ENSG00000118197,DDX59
ENCFF614NUP,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF614NUP/@@download/ENCFF614NUP.bed.gz,peaks,1_2,ENCSR141OIM,1_2,2018-12-03,HepG2,ENSG00000110367,DDX6
ENCFF904KTV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF904KTV/@@download/ENCFF904KTV.bed.gz,peaks,1_2,ENCSR893EFU,1_2,2018-12-03,K562,ENSG00000110367,DDX6
ENCFF023YVD,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF023YVD/@@download/ENCFF023YVD.bed.gz,peaks,1_2,ENCSR947JVR,1_2,2018-12-03,K562,ENSG00000128191,DGCR8
ENCFF193URO,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF193URO/@@download/ENCFF193URO.bed.gz,peaks,1_2,ENCSR061SZV,1_2,2018-12-03,HepG2,ENSG00000128191,DGCR8
ENCFF663QIZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF663QIZ/@@download/ENCFF663QIZ.bed.gz,peaks,1_2,ENCSR565DGW,1_2,2018-12-03,HepG2,ENSG00000132153,DHX30
ENCFF128AKC,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF128AKC/@@download/ENCFF128AKC.bed.gz,peaks,1_2,ENCSR529GSJ,1_2,2018-12-03,K562,ENSG00000132153,DHX30
ENCFF633LQC,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF633LQC/@@download/ENCFF633LQC.bed.gz,peaks,1_2,ENCSR301TFY,1_2,2018-12-03,HepG2,ENSG00000130826,DKC1
ENCFF854BHP,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF854BHP/@@download/ENCFF854BHP.bed.gz,peaks,1_2,ENCSR834YLD,1_2,2018-12-03,HepG2,ENSG00000113360,DROSHA
ENCFF797BHU,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF797BHU/@@download/ENCFF797BHU.bed.gz,peaks,1_2,ENCSR653HQC,1_2,2018-12-03,K562,ENSG00000113360,DROSHA
ENCFF796RMF,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF796RMF/@@download/ENCFF796RMF.bed.gz,peaks,1_2,ENCSR527DXF,1_2,2018-12-03,HepG2,ENSG00000108883,EFTUD2
ENCFF862ZPV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF862ZPV/@@download/ENCFF862ZPV.bed.gz,peaks,1_2,ENCSR844RVX,1_2,2018-12-03,K562,ENSG00000108883,EFTUD2
ENCFF056UAW,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF056UAW/@@download/ENCFF056UAW.bed.gz,peaks,1_2,ENCSR041NUV,1_2,2018-12-03,HepG2,ENSG00000100353,EIF3D
ENCFF634UAC,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF634UAC/@@download/ENCFF634UAC.bed.gz,peaks,1_2,ENCSR023PKW,1_2,2018-12-03,K562,ENSG00000130811,EIF3G
ENCFF813JIK,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF813JIK/@@download/ENCFF813JIK.bed.gz,peaks,1_2,ENCSR916XIV,1_2,2018-12-03,HepG2,ENSG00000147677,EIF3H
ENCFF207BXK,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF207BXK/@@download/ENCFF207BXK.bed.gz,peaks,1_2,ENCSR307YIW,1_2,2018-12-03,K562,ENSG00000110321,EIF4G2
ENCFF607ZRF,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF607ZRF/@@download/ENCFF607ZRF.bed.gz,peaks,1_2,ENCSR887LPK,1_2,2018-12-03,K562,ENSG00000182944,EWSR1
ENCFF862EKD,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF862EKD/@@download/ENCFF862EKD.bed.gz,peaks,1_2,ENCSR693JWP,1_2,2018-12-03,HepG2,ENSG00000077348,EXOSC5
ENCFF858CSS,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF858CSS/@@download/ENCFF858CSS.bed.gz,peaks,1_2,ENCSR013CTQ,1_2,2018-12-03,K562,ENSG00000077348,EXOSC5
ENCFF208ZMI,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF208ZMI/@@download/ENCFF208ZMI.bed.gz,peaks,1_2,ENCSR987NYS,1_2,2018-12-03,HepG2,ENSG00000048828,FAM120A
ENCFF158AOV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF158AOV/@@download/ENCFF158AOV.bed.gz,peaks,1_2,ENCSR006OEQ,1_2,2018-12-03,K562,ENSG00000048828,FAM120A
ENCFF498IGK,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF498IGK/@@download/ENCFF498IGK.bed.gz,peaks,1_2,ENCSR023UHL,1_2,2018-12-03,HepG2,ENSG00000118246,FASTKD2
ENCFF423SOR,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF423SOR/@@download/ENCFF423SOR.bed.gz,peaks,1_2,ENCSR887FHF,1_2,2018-12-03,K562,ENSG00000118246,FASTKD2
ENCFF957AOZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF957AOZ/@@download/ENCFF957AOZ.bed.gz,peaks,1_2,ENCSR018ZUE,1_2,2018-12-03,HepG2,ENSG00000004478,FKBP4
ENCFF480NUZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF480NUZ/@@download/ENCFF480NUZ.bed.gz,peaks,1_2,ENCSR331VNX,1_2,2018-12-03,K562,ENSG00000102081,FMR1
ENCFF351ZDU,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF351ZDU/@@download/ENCFF351ZDU.bed.gz,peaks,1_2,ENCSR903PRV,1_2,2018-12-03,HepG2,ENSG00000140718,FTO
ENCFF924OVC,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF924OVC/@@download/ENCFF924OVC.bed.gz,peaks,1_2,ENCSR989SMC,1_2,2018-12-03,K562,ENSG00000140718,FTO
ENCFF466UMQ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF466UMQ/@@download/ENCFF466UMQ.bed.gz,peaks,1_2,ENCSR486YGP,1_2,2018-12-03,HepG2,ENSG00000107164,FUBP3
ENCFF972DFZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF972DFZ/@@download/ENCFF972DFZ.bed.gz,peaks,1_2,ENCSR464OSH,1_2,2018-12-03,HepG2,ENSG00000089280,FUS
ENCFF861KMV,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF861KMV/@@download/ENCFF861KMV.bed.gz,peaks,1_2,ENCSR069EVH,1_2,2018-12-03,K562,ENSG00000089280,FUS
ENCFF366UJP,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF366UJP/@@download/ENCFF366UJP.bed.gz,peaks,1_2,ENCSR774RFN,1_2,2018-12-03,K562,ENSG00000114416,FXR1
ENCFF315HYU,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF315HYU/@@download/ENCFF315HYU.bed.gz,peaks,1_2,ENCSR224QWC,1_2,2018-12-03,K562,ENSG00000129245,FXR2
ENCFF112MVG,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF112MVG/@@download/ENCFF112MVG.bed.gz,peaks,1_2,ENCSR973HOJ,1_2,2018-12-03,HepG2,ENSG00000129245,FXR2
ENCFF899HHP,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF899HHP/@@download/ENCFF899HHP.bed.gz,peaks,1_2,ENCSR721HPX,1_2,2018-12-03,HepG2,ENSG00000145907,G3BP1
ENCFF050VVI,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF050VVI/@@download/ENCFF050VVI.bed.gz,peaks,1_2,ENCSR238CLX,1_2,2018-12-03,K562,ENSG00000082516,GEMIN5
ENCFF048RLZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF048RLZ/@@download/ENCFF048RLZ.bed.gz,peaks,1_2,ENCSR301UQM,1_2,2018-12-03,K562,ENSG00000163938,GNL3
ENCFF674BUM,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF674BUM/@@download/ENCFF674BUM.bed.gz,peaks,1_2,ENCSR647CLF,1_2,2018-12-03,K562,ENSG00000068394,GPKOW
ENCFF929AWR,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF929AWR/@@download/ENCFF929AWR.bed.gz,peaks,1_2,ENCSR668MJX,1_2,2018-12-03,HepG2,ENSG00000132463,GRSF1
ENCFF159MMZ,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF159MMZ/@@download/ENCFF159MMZ.bed.gz,peaks,1_2,ENCSR893NWB,1_2,2018-12-03,HepG2,ENSG00000105447,GRWD1
ENCFF327DLL,FALSE,bed narrowPeak,GRCh38,2018-12-03,https://www.encodeproject.org/files/ENCFF327DLL/@@download/ENCFF327DLL.bed.gz,peaks,1_2,ENCSR999YGP,1_2,2018-12-03,K562,ENSG00000105447,GRWD1
